
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Usage | when referring to the people, aboriginal is preferred for the singular form and aborigines for the plural, although aboriginals is also acceptable.
Abortion | n. <br>1 natural or (esp.) Induced expulsion of a foetus from the womb before it is able to survive independently. <br>2 stunted or deformed creature or thing. <br>3 failed project or action.  abortionist n.
Usage | when referring to the people, aboriginal is preferred for the singular form and aborigines for the plural, although aboriginals is also acceptable.
Abortion | n. <br>1 natural or (esp.) Induced expulsion of a foetus from the womb before it is able to survive independently. <br>2 stunted or deformed creature or thing. <br>3 failed project or action.  abortionist n.
Absence | n. <br>1 being away. <br>2 time of this. <br>3 (foll. By of) lack of.  absence of mind inattentiveness. [latin absentia]
Absent | <br>—adj. <br>1 not present. <br>2 not existing; lacking. <br>3 inattentive. <br>—v.refl. Go, or stay, away.  absently adv. (in sense <br>3 of adj.).
Absorb | v. <br>1 incorporate as part of itself or oneself. <br>2 take in, suck up (liquid, heat, knowledge, etc.). <br>3 reduce the effect or intensity of; deal easily with (an impact, sound, difficulty, etc.). <br>4 consume (resources etc.). <br>5 (often as absorbing adj.) Engross the attention of. [latin sorbeo suck in]
Abstract | <br>—adj. <br>1 a of or existing in thought or theory rather than matter or practice; not concrete. B (of a word, esp. A noun) denoting a quality, condition, etc., not a concrete object. <br>2 (of art) achieving its effect by form and colour rather than by realism. <br>—v. <br>1 (often foll. By from) extract, remove. <br>2 summarize. <br>—n. <br>1 summary. <br>2 abstract work of art. <br>3 abstraction or abstract term. [latin: related to *tract1]
Absurd | adj. Wildly illogical or inappropriate; ridiculous.  absurdity n. (pl. -ies). Absurdly adv. [latin: related to *surd]
Abundance | n. <br>1 plenty; more than enough; a lot. <br>2 wealth. [latin: related to *abound]
Abundance | n. <br>1 plenty; more than enough; a lot. <br>2 wealth. [latin: related to *abound]
Abuse | <br>—v. (-sing) <br>1 use improperly, misuse. <br>2 insult verbally. <br>3 maltreat. <br>—n. <br>1 misuse. <br>2 insulting language. <br>3 unjust or corrupt practice. <br>4 maltreatment (child abuse).  abuser n. [latin: related to *use]
Academy | n. (pl. -ies) <br>1 place of specialized training (military academy). <br>2 (usu. Academy) society or institution of distinguished scholars, artists, scientists, etc. (royal academy). <br>3 scot. Secondary school. [greek akademeia the place in athens where plato taught]
Accelerate | v. (-ting) move or cause to move or happen more quickly.  acceleration n. [latin: related to *celerity]
Accent | <br>—n. <br>1 particular (esp. Local or national) mode of pronunciation. <br>2 distinctive feature or emphasis (accent on speed). <br>3 prominence given to a syllable by stress or pitch. <br>4 mark on a letter or word to indicate pitch, stress, or vowel quality. <br>—v. <br>1 emphasize (a word or syllable etc.). <br>2 write or print accents on (words etc.). <br>3 accentuate. [latin cantus song]
Acceptance | n. <br>1 willingness to accept. <br>2 affirmative answer to an invitation etc. <br>3 approval, belief (found wide acceptance).
Accessible | adj. (often foll. By to) <br>1 reachable or obtainable; readily available. <br>2 easy to understand.  accessibility n.
Accommodate | v. (-ting) <br>1 provide lodging or room for (flat accommodates two). <br>2 adapt, harmonize, reconcile (must accommodate himself to new ideas). <br>3 a do favour to, oblige (a person). B (foll. By with) supply (a person) with. [latin: related to *commode]
Accomplish | v. Succeed in doing; achieve, complete. [latin: related to *complete]
Accomplishment | n. <br>1 completion (of a task etc.). <br>2 acquired, esp. Social, skill. <br>3 thing achieved.
Accordance | n.  in accordance with in conformity to.  accordant adj.
Accordingly | adv. <br>1 as circumstances suggest or require (please act accordingly). <br>2 consequently (accordingly, he left the room).
Accommodate | v. (-ting) <br>1 provide lodging or room for (flat accommodates two). <br>2 adapt, harmonize, reconcile (must accommodate himself to new ideas). <br>3 a do favour to, oblige (a person). B (foll. By with) supply (a person) with. [latin: related to *commode]
Accomplish | v. Succeed in doing; achieve, complete. [latin: related to *complete]
Accomplishment | n. <br>1 completion (of a task etc.). <br>2 acquired, esp. Social, skill. <br>3 thing achieved.
Accordance | n.  in accordance with in conformity to.  accordant adj.
Accordingly | adv. <br>1 as circumstances suggest or require (please act accordingly). <br>2 consequently (accordingly, he left the room).
Accountable | adj. <br>1 responsible; required to account for one's conduct. <br>2 explicable, understandable.  accountability n.
Accountant | n. Professional keeper or verifier of accounts.  accountancy n. Accounting n.
Accumulate | v. (-ting) <br>1 acquire an increasing number or quantity of; amass, collect. <br>2 grow numerous; increase. [latin: related to *cumulus]
Accumulation | n. <br>1 accumulating or being accumulated. <br>2 accumulated mass. <br>3 growth of capital by continued interest.  accumulative adj.
Accuracy | n. Exactness or careful precision. [latin cura care]
Accusation | n. Accusing or being accused. [french: related to *accuse]
